,external_ref,status,source,ref,date_time,state,cvv_provided,amount,country,currency,chargeback,amount_USD,local_time,Year,Month,Day
1062,Qja7nQ_Q4hN2hCqTVnPMS,True,GLOBALPAY,evt_1ENPWSNr0_wuDsJtPBh2gbS,2019-02-05T09:36:00.000Z,ACCEPTED,False,31627.93,UK,GBP,False,26978.02,2019-02-05 09:36:00,2019,2,5
1063,ZtUBnFHLPf6KV8g5OPJLH,True,GLOBALPAY,evt_1EOdQnwZePbLVuUjy0utdDH,2019-02-05T14:24:00.000Z,DECLINED,False,31771.39,UK,GBP,False,27100.39,2019-02-05 14:24:00,2019,2,5
1064,yVRWAdWpCpu4LJF1jcjov,True,GLOBALPAY,evt_1E8C3GhkcMDXqVNexwQ9pl5,2019-02-05T19:12:00.000Z,DECLINED,False,32151.17,UK,GBP,False,27424.33,2019-02-05 19:12:00,2019,2,5
1065,iI_AVKGtRWOIR7LtyamC4,True,GLOBALPAY,evt_1E-LWJG5ZFnhifSI_hv7DAj,2019-02-05T00:00:00.000Z,DECLINED,False,33535.95,FR,EUR,False,30136.81,2019-02-05 00:00:00,2019,2,5
1066,02jLAEz2L_-Ki3V9oYvqL,True,GLOBALPAY,evt_1EdEqyGxTqr0A1uRhjpt3yW,2019-02-05T04:48:00.000Z,ACCEPTED,False,33438.86,FR,EUR,False,30049.57,2019-02-05 04:48:00,2019,2,5
1067,zXRw8iPsgpzyvjXijh9Nb,True,GLOBALPAY,evt_1EWbPS3n5zmC4aVVij91bG3,2019-02-05T09:36:00.000Z,ACCEPTED,False,33325.08,FR,EUR,False,29947.32,2019-02-05 09:36:00,2019,2,5
1068,2NxjE6Gk6JPuHk8n_8DZt,True,GLOBALPAY,evt_1EkK4bNhYstLCwZAPUSp8UJ,2019-02-05T14:24:00.000Z,DECLINED,False,33758.68,FR,EUR,False,30336.97,2019-02-05 14:24:00,2019,2,5
1069,6il-0OG5u1n7sVVZAPwHb,True,GLOBALPAY,evt_1EQgrokNloupFE-9xB0ZH5e,2019-02-05T19:12:00.000Z,ACCEPTED,False,34028.29,FR,EUR,False,30579.25,2019-02-05 19:12:00,2019,2,5
1070,qpws14x7XVyD2szdj52FU,True,GLOBALPAY,evt_1EnfLOiOv19mYdYYWc-WSO8,2019-02-05T00:00:00.000Z,ACCEPTED,False,28405.85,CA,CAD,False,39754.07,2019-02-05 00:00:00,2019,2,5
1071,v6dGMrJLLqZj8R0NLlBOv,True,GLOBALPAY,evt_1Eksj_ToiiImvheSvnM_SQO,2019-02-05T04:48:00.000Z,DECLINED,False,28474.81,CA,CAD,False,39850.58,2019-02-05 04:48:00,2019,2,5
1072,iT3CVQbLOcGOAcf85C3EA,True,GLOBALPAY,evt_1EGMyVFa1X91aGVNoqTvouU,2019-02-05T09:36:00.000Z,ACCEPTED,False,28468.48,CA,CAD,False,39841.73,2019-02-05 09:36:00,2019,2,5
1073,m15quyYIXiaTih8kQrER4,True,GLOBALPAY,evt_1Ex9uBNjNzRCYqttmULVacV,2019-02-05T14:24:00.000Z,ACCEPTED,False,29163.2,CA,CAD,False,40813.99,2019-02-05 14:24:00,2019,2,5
1074,VJi4c3LmUB7gpdVPUjKyg,True,GLOBALPAY,evt_1EMTeYAwuCIqu8BnPDJ2sfX,2019-02-05T19:12:00.000Z,ACCEPTED,False,28938.79,CA,CAD,False,40499.93,2019-02-05 19:12:00,2019,2,5
1075,5fibAMQHFfG0Eq5qRhd8r,True,GLOBALPAY,evt_1E91fTbsY6Mykr426kVYW6t,2019-02-05T00:00:00.000Z,ACCEPTED,False,37652.72,AE,USD,False,37652.72,2019-02-05 00:00:00,2019,2,5
1076,yaL565v5EQajQUt0tHnQn,True,GLOBALPAY,evt_1EEvRzeAFyil_CNaDiekHjz,2019-02-05T04:48:00.000Z,DECLINED,False,37957.9,AE,USD,False,37957.9,2019-02-05 04:48:00,2019,2,5
1077,BP_imPmxDsBRqIKoIKF6y,True,GLOBALPAY,evt_1ETczKt6OByiog_crnR7isp,2019-02-05T09:36:00.000Z,DECLINED,False,37883.8,AE,USD,False,37883.8,2019-02-05 09:36:00,2019,2,5
1078,J-QImwAZab60jELP_htAN,True,GLOBALPAY,evt_1EHc0EctWx8pciJBlDOqENH,2019-02-05T14:24:00.000Z,DECLINED,False,37930.75,AE,USD,False,37930.75,2019-02-05 14:24:00,2019,2,5
1079,3DUJNlOPegRfjv67STTVr,True,GLOBALPAY,evt_1EEND7r6z4GTSe5PjQ4eR_G,2019-02-05T19:12:00.000Z,ACCEPTED,False,38038.31,AE,USD,False,38038.31,2019-02-05 19:12:00,2019,2,5
1080,RpX3gZftTt4vfY6nIo-g3,True,GLOBALPAY,evt_1ECXrmUJsiMwrD5VaKszPgA,2019-02-06T00:00:00.000Z,DECLINED,True,32201.25,US,USD,False,32201.25,2019-02-06 00:00:00,2019,2,6
1081,jH0tjHDTJckPUfqHlQ1cL,True,GLOBALPAY,evt_1E890hWi8TbX6EkMwgvYJ4x,2019-02-06T04:48:00.000Z,ACCEPTED,False,32886.49,US,USD,False,32886.49,2019-02-06 04:48:00,2019,2,6
1082,Wkr6lCPKfCpfKHT33aE0u,True,GLOBALPAY,evt_1EipNGGLXWED0dEYQMQk-fD,2019-02-06T09:36:00.000Z,DECLINED,False,33042.8,US,USD,False,33042.8,2019-02-06 09:36:00,2019,2,6
1083,ixOQpAcKphuwC4m3mk7de,True,GLOBALPAY,evt_1EXPbdJipBY3wgTEt9eZilf,2019-02-06T14:24:00.000Z,ACCEPTED,False,33556.39,US,USD,False,33556.39,2019-02-06 14:24:00,2019,2,6
1084,CZkYBMFT20WG0nff_x6ut,True,GLOBALPAY,evt_1Ebu_HJO8e5gY8xlRpEiNwx,2019-02-06T19:12:00.000Z,ACCEPTED,False,33381.85,US,USD,False,33381.85,2019-02-06 19:12:00,2019,2,6
1085,sO_cg5LwcGdq_Nurqupol,True,GLOBALPAY,evt_1ESLx0LdksoRa0P06em4yRz,2019-02-06T00:00:00.000Z,DECLINED,False,35091.81,MX,MXN,False,880565.95,2019-02-06 00:00:00,2019,2,6
1086,PbdMvfZM4uB4zKbAVV1Vh,True,GLOBALPAY,evt_1E5vQQzvtfzxIKit9qQrT4W,2019-02-06T04:48:00.000Z,ACCEPTED,False,35023.25,MX,MXN,False,878845.56,2019-02-06 04:48:00,2019,2,6
1087,_-UTDS0dMlagMWEtQKMy-,True,GLOBALPAY,evt_1E8sB99vhfduJ1TnMibluhv,2019-02-06T09:36:00.000Z,ACCEPTED,False,35444.05,MX,MXN,False,889404.78,2019-02-06 09:36:00,2019,2,6
1088,U2yaWO7WRLii0qwPjkb2_,True,GLOBALPAY,evt_1EkjDQ_8L74Hb7S8-ftr0Av,2019-02-06T14:24:00.000Z,DECLINED,False,35404.56,MX,MXN,False,888413.85,2019-02-06 14:24:00,2019,2,6
1089,YwNdUptHSGM-P9RpGa2W-,True,GLOBALPAY,evt_1E3ie5vX-uqR319CHH6iA3h,2019-02-06T19:12:00.000Z,ACCEPTED,False,35166.52,MX,MXN,False,882440.66,2019-02-06 19:12:00,2019,2,6
1090,6tcNseJ_SseSHAL8y8FND,True,GLOBALPAY,evt_1E1xexsjTYCQAezOX-ZdgzD,2019-02-06T00:00:00.000Z,ACCEPTED,False,32158.06,UK,GBP,False,27413.22,2019-02-06 00:00:00,2019,2,6
1091,Fnx8XdtfCsRPj1kD-Kis2,True,GLOBALPAY,evt_1Ee1D161G_oV75BpjUnFOj5,2019-02-06T04:48:00.000Z,DECLINED,False,32386.17,UK,GBP,False,27607.68,2019-02-06 04:48:00,2019,2,6
1092,aFgpIvWj7lBhzHLmVNIsQ,True,GLOBALPAY,evt_1EJT0jE8BXQLa3lgD-eHBse,2019-02-06T09:36:00.000Z,ACCEPTED,False,32695.0,UK,GBP,False,27870.94,2019-02-06 09:36:00,2019,2,6
1093,WDHfKiZbIEEitrUI5dM5x,True,GLOBALPAY,evt_1ETHviSTOqbfn1He6ljtNia,2019-02-06T14:24:00.000Z,ACCEPTED,False,33383.47,UK,GBP,False,28457.83,2019-02-06 14:24:00,2019,2,6
1094,Zi_drn30hBRdu3HjBXZVm,True,GLOBALPAY,evt_1EtYMlao583DpXQTs6r4Zvi,2019-02-06T19:12:00.000Z,ACCEPTED,False,33541.53,UK,GBP,False,28592.57,2019-02-06 19:12:00,2019,2,6
1095,5pjBj88WIgQlZuUGI1A24,True,GLOBALPAY,evt_1EerZ6mS0dfHzVz-uXGv0wJ,2019-02-06T00:00:00.000Z,ACCEPTED,False,34197.16,FR,EUR,False,30531.49,2019-02-06 00:00:00,2019,2,6
1096,Ir3db60VOSIOIzFuEHBAm,True,GLOBALPAY,evt_1EhcHlBTZqwtqVkUW2e4iR4,2019-02-06T04:48:00.000Z,DECLINED,False,34478.86,FR,EUR,False,30782.99,2019-02-06 04:48:00,2019,2,6
1097,Uhk2Tn98yuGbRPuxnj8Ce,True,GLOBALPAY,evt_1Ef1K6WykyoBILgkf_L7dN3,2019-02-06T09:36:00.000Z,ACCEPTED,False,35001.05,FR,EUR,False,31249.21,2019-02-06 09:36:00,2019,2,6
1098,CS3aiOhXi92YECYofWhD-,True,GLOBALPAY,evt_1EUPMmymYuIyhpzVsx4Djmp,2019-02-06T14:24:00.000Z,ACCEPTED,False,34978.45,FR,EUR,False,31229.03,2019-02-06 14:24:00,2019,2,6
1099,BHN6wWixKFwl-61SPt0nc,True,GLOBALPAY,evt_1E5oQqYhGhvUJ2S7c6-sFYe,2019-02-06T19:12:00.000Z,ACCEPTED,False,34921.3,FR,EUR,False,31178.01,2019-02-06 19:12:00,2019,2,6
1100,VOU-08E0V7qhx2TmsSQP0,True,GLOBALPAY,evt_1Ed3z5kYHO3sbAh-g4C5ipA,2019-02-06T00:00:00.000Z,ACCEPTED,False,29196.3,CA,CAD,False,40903.32,2019-02-06 00:00:00,2019,2,6
1101,coj4lCSvcATnHyzuveuen,True,GLOBALPAY,evt_1EuwotZBDs_DbGwq6vYTvPh,2019-02-06T04:48:00.000Z,DECLINED,False,29392.43,CA,CAD,False,41178.1,2019-02-06 04:48:00,2019,2,6
1102,apB9TVpyfLTdufvA7sDPA,True,GLOBALPAY,evt_1Efpaj0cis271DGTNAxL0yP,2019-02-06T09:36:00.000Z,ACCEPTED,False,29612.42,CA,CAD,False,41486.3,2019-02-06 09:36:00,2019,2,6
1103,y-SlPZ57CJve-U8BUOXT7,True,GLOBALPAY,evt_1EaEFHTLjxDOGyy-Mujg9BX,2019-02-06T14:24:00.000Z,ACCEPTED,False,29764.57,CA,CAD,False,41699.46,2019-02-06 14:24:00,2019,2,6
1104,4R_erSBoOjpMa1wbXcnru,True,GLOBALPAY,evt_1Ei05pUcypeahCer-zWSv_K,2019-02-06T19:12:00.000Z,ACCEPTED,False,29530.82,CA,CAD,False,41371.98,2019-02-06 19:12:00,2019,2,6
1105,_TukhgOU5CcpgVtced7a-,True,GLOBALPAY,evt_1EMsq-Ev2kYlURvFuA_s8Hd,2019-02-06T00:00:00.000Z,ACCEPTED,False,37837.94,AE,USD,False,37837.94,2019-02-06 00:00:00,2019,2,6
1106,Jgm_10MYhGBmfS4lBVRbN,True,GLOBALPAY,evt_1EQitYnZfUuWEItKdIOyFK8,2019-02-06T04:48:00.000Z,ACCEPTED,False,38498.28,AE,USD,False,38498.28,2019-02-06 04:48:00,2019,2,6
1107,wBR6bLhYe005JLZIvM_n-,True,GLOBALPAY,evt_1EiIPcMjfgKV-rR6yYVfHlW,2019-02-06T09:36:00.000Z,ACCEPTED,False,38851.41,AE,USD,False,38851.41,2019-02-06 09:36:00,2019,2,6
1108,Mcz4ja0VmLaWc50bYABtn,True,GLOBALPAY,evt_1EUXopEIHxRgBj5kiNHGeHM,2019-02-06T14:24:00.000Z,ACCEPTED,False,38805.01,AE,USD,False,38805.01,2019-02-06 14:24:00,2019,2,6
1109,D8s0D1AlRI99f_QXScBF2,True,GLOBALPAY,evt_1E221sPkWsCg8qCDF0Ov6iI,2019-02-06T19:12:00.000Z,DECLINED,False,38915.14,AE,USD,False,38915.14,2019-02-06 19:12:00,2019,2,6
1110,LnMyRJf76EjEJvQ8Gza_q,True,GLOBALPAY,evt_1E7pqAZ3HisMbqqKSgPLA0N,2019-02-07T00:00:00.000Z,DECLINED,False,33641.84,US,USD,False,33641.84,2019-02-07 00:00:00,2019,2,7
1111,Cc5KSYoBIaoXtgMeqjQ6h,True,GLOBALPAY,evt_1E_KwqmsO7REJJ4xdwph6O1,2019-02-07T04:48:00.000Z,ACCEPTED,False,33460.04,US,USD,False,33460.04,2019-02-07 04:48:00,2019,2,7
1112,ro1lqFmlnotojzVWk6Kxa,True,GLOBALPAY,evt_1EftXzce8F929WTnKYDfM_Y,2019-02-07T09:36:00.000Z,ACCEPTED,False,33478.41,US,USD,False,33478.41,2019-02-07 09:36:00,2019,2,7
1113,u2PZpq92hsoe0-FFqPtx7,True,GLOBALPAY,evt_1EYidzsOzekhVJgGQHGvrJD,2019-02-07T14:24:00.000Z,DECLINED,False,33722.23,US,USD,False,33722.23,2019-02-07 14:24:00,2019,2,7
1114,xrRUwxpO8qjMGn9ajsfsB,True,GLOBALPAY,evt_1Ewa-X_AH-W9FvxVZXFkVTz,2019-02-07T19:12:00.000Z,ACCEPTED,False,33808.47,US,USD,False,33808.47,2019-02-07 19:12:00,2019,2,7
1115,M9V1qX4BGeKR2A-GKCIAM,True,GLOBALPAY,evt_1EqqXuBV0yNxPRZVTUHZHGc,2019-02-07T00:00:00.000Z,DECLINED,False,34908.39,MX,MXN,False,876230.27,2019-02-07 00:00:00,2019,2,7
1116,xXSoSsuFE81Qyuy_BNFO5,True,GLOBALPAY,evt_1EVeQTp68ypLm1NCNSjIg1n,2019-02-07T04:48:00.000Z,DECLINED,False,35446.51,MX,MXN,False,889737.54,2019-02-07 04:48:00,2019,2,7
1117,okF7VtNNLEJavFsASml2v,True,GLOBALPAY,evt_1EHeX0jKbRPVOVB3pEFoC8z,2019-02-07T09:36:00.000Z,DECLINED,False,36144.18,MX,MXN,False,907249.65,2019-02-07 09:36:00,2019,2,7
1118,xP7zPg2zzrGzWmCE8S7Zh,True,GLOBALPAY,evt_1E0ycdxn0AOukTO7Y55DIZ_,2019-02-07T14:24:00.000Z,ACCEPTED,False,36193.32,MX,MXN,False,908483.11,2019-02-07 14:24:00,2019,2,7
1119,qXEP7z-V5SgOqDvQpnE7R,True,GLOBALPAY,evt_1EhU1ce0WnFSKTEksctRVgI,2019-02-07T19:12:00.000Z,DECLINED,False,36701.55,MX,MXN,False,921240.11,2019-02-07 19:12:00,2019,2,7
1120,AO2cIScTW9fj4KsjyxMjH,True,GLOBALPAY,evt_1EWEAwFrVtKsv55RCR3qMcA,2019-02-07T00:00:00.000Z,ACCEPTED,False,34004.41,UK,GBP,False,29413.7,2019-02-07 00:00:00,2019,2,7
1121,Wlhml3b8WeyLK_5MvG41y,True,GLOBALPAY,evt_1Eq9BHIl5pARYW_NZl-A2hF,2019-02-07T04:48:00.000Z,ACCEPTED,False,33844.91,UK,GBP,False,29275.74,2019-02-07 04:48:00,2019,2,7
1122,v-m8LDlcAleECAZNCnWxF,True,GLOBALPAY,evt_1ErLWMDpRqwEqwGRc81YbZC,2019-02-07T09:36:00.000Z,ACCEPTED,False,33885.81,UK,GBP,False,29311.12,2019-02-07 09:36:00,2019,2,7
1123,kowYPobfMEuVTv4TCSXdh,True,GLOBALPAY,evt_1EiPG6zBGnMFBjO6G0fp_TS,2019-02-07T14:24:00.000Z,ACCEPTED,False,34543.88,UK,GBP,False,29880.34,2019-02-07 14:24:00,2019,2,7
1124,OLqU8dWQr-kpCj64UE8jY,True,GLOBALPAY,evt_1Eg2GEkMUj9lT-VVENobnlk,2019-02-07T19:12:00.000Z,ACCEPTED,False,34624.29,UK,GBP,False,29949.9,2019-02-07 19:12:00,2019,2,7
1125,zFYjSwWpDkvCE1kHhIn-0,True,GLOBALPAY,evt_1EYoLHOfPBe4fAJcuQwR3Dd,2019-02-07T00:00:00.000Z,ACCEPTED,False,35184.16,FR,EUR,False,31260.39,2019-02-07 00:00:00,2019,2,7
1126,rSWdM1rCfgh2um4SrLCA4,True,GLOBALPAY,evt_1EtM0DuKeG19qzLhnDwEdh0,2019-02-07T04:48:00.000Z,ACCEPTED,False,35654.06,FR,EUR,False,31677.89,2019-02-07 04:48:00,2019,2,7
1127,9wfLKbAtPEPrHMsTKD7kn,True,GLOBALPAY,evt_1Eb9WfEtJV07C-FSHV7xhgq,2019-02-07T09:36:00.000Z,ACCEPTED,False,35647.04,FR,EUR,False,31671.65,2019-02-07 09:36:00,2019,2,7
1128,OAs7aCU8-PoCffHFxJK4x,True,GLOBALPAY,evt_1E7RO1r-gP-36IyxfDIm-ha,2019-02-07T14:24:00.000Z,ACCEPTED,False,36315.86,FR,EUR,False,32265.88,2019-02-07 14:24:00,2019,2,7
1129,RCMT62tuDpwKu_f5-FAmI,True,GLOBALPAY,evt_1EV4twjZvBFKeHIXmuf-1PG,2019-02-07T19:12:00.000Z,ACCEPTED,False,36377.92,FR,EUR,False,32321.02,2019-02-07 19:12:00,2019,2,7
1130,Ir5y6VawFhOpc5qZp1wc2,True,GLOBALPAY,evt_1Es1LwDG1jrftOhaNWjxBJH,2019-02-07T00:00:00.000Z,DECLINED,False,30227.27,CA,CAD,False,42295.37,2019-02-07 00:00:00,2019,2,7
1131,kCxFPQT1YHkQGi7S4JzO3,True,GLOBALPAY,evt_1EKt7a2NuRi4db5BMx1ddUN,2019-02-07T04:48:00.000Z,ACCEPTED,False,30293.39,CA,CAD,False,42387.88,2019-02-07 04:48:00,2019,2,7
1132,5TUDebD_t0oJg7W_trI_x,True,GLOBALPAY,evt_1E8-GKmONcLbvYvHv0ffWsJ,2019-02-07T09:36:00.000Z,ACCEPTED,False,30373.19,CA,CAD,False,42499.54,2019-02-07 09:36:00,2019,2,7
1133,2NobsoEAuyFH4m83HMEeQ,True,GLOBALPAY,evt_1EBTP0_5UbjtWqAWSGDuCJB,2019-02-07T14:24:00.000Z,ACCEPTED,False,30217.9,CA,CAD,False,42282.25,2019-02-07 14:24:00,2019,2,7
1134,SLLzOZ4e6fZA2jLwQjzE2,True,GLOBALPAY,evt_1EjOkiQlgLxGfajO2q8QJXh,2019-02-07T19:12:00.000Z,ACCEPTED,False,30432.38,CA,CAD,False,42582.36,2019-02-07 19:12:00,2019,2,7
1135,b1xJ7uRhzSC9j-pWO5xfv,True,GLOBALPAY,evt_1ElBl8qU0SNaaV7fHlF6v0h,2019-02-07T00:00:00.000Z,ACCEPTED,False,38638.5,AE,USD,False,38638.5,2019-02-07 00:00:00,2019,2,7
1136,nvdt2EqHPCTb_li-o7B5E,True,GLOBALPAY,evt_1EZgwfIiLdJTZaBayhwl5mc,2019-02-07T04:48:00.000Z,DECLINED,False,38658.54,AE,USD,False,38658.54,2019-02-07 04:48:00,2019,2,7
1137,6TFGH4WHqzlT3Ke69xyYJ,True,GLOBALPAY,evt_1EoDjgc4snhjd8kz899bkq6,2019-02-07T09:36:00.000Z,DECLINED,False,39261.5,AE,USD,False,39261.5,2019-02-07 09:36:00,2019,2,7
1138,LU27K6PulIHveDsgQEW2V,True,GLOBALPAY,evt_1EEPyzrc7xszpRQkAm0UyrK,2019-02-07T14:24:00.000Z,ACCEPTED,False,39405.43,AE,USD,False,39405.43,2019-02-07 14:24:00,2019,2,7
1139,yepIhmnDDzqHd93pawmfX,True,GLOBALPAY,evt_1ElK4Q7ejiIUgKwE4hkW-D7,2019-02-07T19:12:00.000Z,ACCEPTED,False,39459.8,AE,USD,False,39459.8,2019-02-07 19:12:00,2019,2,7
1140,WoOxi-6_X-DX2XAoVrg5a,True,GLOBALPAY,evt_1EIbGDB-mKoaWOfjlbvHc1u,2019-02-08T00:00:00.000Z,ACCEPTED,False,34382.3,US,USD,False,34382.3,2019-02-08 00:00:00,2019,2,8
1141,bLIQ35p2PSWoTnKjF6f9a,True,GLOBALPAY,evt_1ERSvcR8bylO4lk9MOIC96w,2019-02-08T04:48:00.000Z,DECLINED,False,34506.45,US,USD,False,34506.45,2019-02-08 04:48:00,2019,2,8
1142,OFm9h8ajn9A_znPYFoBFc,True,GLOBALPAY,evt_1EuD6kLS69fnUeCVyyY7ij0,2019-02-08T09:36:00.000Z,ACCEPTED,False,34765.05,US,USD,False,34765.05,2019-02-08 09:36:00,2019,2,8
1143,JM74lf_A5-gMrkNQfMHh8,True,GLOBALPAY,evt_1E5vDNd8tJJriwJk-Z0cTq1,2019-02-08T14:24:00.000Z,DECLINED,False,35312.97,US,USD,False,35312.97,2019-02-08 14:24:00,2019,2,8
1144,zzbrqvnMrLFdUbiFjJF54,True,GLOBALPAY,evt_1E1Qf4fLFCDqROyPc7YHMuX,2019-02-08T19:12:00.000Z,ACCEPTED,False,35431.61,US,USD,False,35431.61,2019-02-08 19:12:00,2019,2,8
1145,_F_UZ5tMYtyq_dfJIc73l,True,GLOBALPAY,evt_1EpPhXo6ZjztEIOpICEMyLI,2019-02-08T00:00:00.000Z,ACCEPTED,False,36977.53,MX,MXN,False,927989.51,2019-02-08 00:00:00,2019,2,8
1146,2cmWmJ2jqcnUWFH-lVuJc,True,GLOBALPAY,evt_1EpWQD71q8qZLK1r1j7E-Zv,2019-02-08T04:48:00.000Z,DECLINED,False,37488.24,MX,MXN,False,940806.3,2019-02-08 04:48:00,2019,2,8
1147,8LcfPEQtuuOjO10y8JcpT,True,GLOBALPAY,evt_1EH1AGHA2dWmBK5gtGGuzrT,2019-02-08T09:36:00.000Z,ACCEPTED,False,38093.12,MX,MXN,False,955986.4,2019-02-08 09:36:00,2019,2,8
1148,QqxFqjifG2fEF0cwWp6iE,True,GLOBALPAY,evt_1E4fvnR5n_3ljdJJez907o6,2019-02-08T14:24:00.000Z,DECLINED,False,38104.21,MX,MXN,False,956264.71,2019-02-08 14:24:00,2019,2,8
1149,1KhszaiT6RuUTTSusoSsi,True,GLOBALPAY,evt_1EZiVw9rjDlRk4gdJiUKNhg,2019-02-08T19:12:00.000Z,ACCEPTED,False,38640.86,MX,MXN,False,969732.5,2019-02-08 19:12:00,2019,2,8
1150,UyySvFHZzZanZ6YkSWUqZ,True,GLOBALPAY,evt_1EL1enk3ZDFW2mnR_U6qp3d,2019-02-08T00:00:00.000Z,DECLINED,False,34494.46,UK,GBP,False,29594.11,2019-02-08 00:00:00,2019,2,8
1151,4caDEwLQLQpkQOoNssLP1,True,GLOBALPAY,evt_1EWdqMm4kzoqKEtfAt7tASw,2019-02-08T04:48:00.000Z,ACCEPTED,False,34374.73,UK,GBP,False,29491.39,2019-02-08 04:48:00,2019,2,8
1152,CfnPEQZcoHp5z39f5kRmE,True,GLOBALPAY,evt_1EGyDfGGz1oY8pp_hwnzBm1,2019-02-08T09:36:00.000Z,ACCEPTED,False,34903.24,UK,GBP,False,29944.82,2019-02-08 09:36:00,2019,2,8
1153,B8E2wdhiBeg96_hqNx8Ph,True,GLOBALPAY,evt_1EsdQACoviwIcmmR6O8Hfj0,2019-02-08T14:24:00.000Z,ACCEPTED,False,35488.86,UK,GBP,False,30447.24,2019-02-08 14:24:00,2019,2,8
1154,yHhOXB4-EqPRrlbKfq53B,True,GLOBALPAY,evt_1EVsjLUxjUclE-zimdSdg-a,2019-02-08T19:12:00.000Z,ACCEPTED,False,35617.17,UK,GBP,False,30557.32,2019-02-08 19:12:00,2019,2,8
1155,h5m7FnjzBEHZIT7OYRj5B,True,GLOBALPAY,evt_1EXGp8rfsBSsC1pKDD8QO6D,2019-02-08T00:00:00.000Z,ACCEPTED,False,36163.66,FR,EUR,False,32464.74,2019-02-08 00:00:00,2019,2,8
1156,uEUwgZhhpDbXmxbenhDfd,True,GLOBALPAY,evt_1EecQMD8p5QiovvhD0L2hzV,2019-02-08T04:48:00.000Z,ACCEPTED,False,36021.0,FR,EUR,False,32336.67,2019-02-08 04:48:00,2019,2,8
1157,vHhmqQVhRgna7UvH8hxvg,True,GLOBALPAY,evt_1EuzS6QfCOe66__SM1PS79P,2019-02-08T09:36:00.000Z,ACCEPTED,False,36531.52,FR,EUR,False,32794.98,2019-02-08 09:36:00,2019,2,8
1158,a_HVucMy2nN6MvJBz4ARz,True,GLOBALPAY,evt_1Eo1KC5PGU5JAqEauYKoHII,2019-02-08T14:24:00.000Z,ACCEPTED,False,36243.51,FR,EUR,False,32536.42,2019-02-08 14:24:00,2019,2,8
1159,k8TvxTLp4z_jMhfbhUg6w,True,GLOBALPAY,evt_1EJmiY5u4zw96qvv7C1jPU6,2019-02-08T19:12:00.000Z,DECLINED,False,36787.47,FR,EUR,False,33024.75,2019-02-08 19:12:00,2019,2,8
1160,f_lv1hlNhqjcPK1K9_ghK,True,GLOBALPAY,evt_1EIGzqwG4LvZa70fWi2FQDp,2019-02-08T00:00:00.000Z,ACCEPTED,False,31128.52,CA,CAD,False,43954.91,2019-02-08 00:00:00,2019,2,8
1161,z1-9u6P3rye9Q-vKmjno6,True,GLOBALPAY,evt_1EbsEpwA7zXYdflHr5sspce,2019-02-08T04:48:00.000Z,DECLINED,False,31408.29,CA,CAD,False,44349.96,2019-02-08 04:48:00,2019,2,8
1162,qqSqi3mxb_btkhTfI1jjX,True,GLOBALPAY,evt_1EJp2_qSmyl2ZSg3jT3dsBI,2019-02-08T09:36:00.000Z,DECLINED,False,31205.76,CA,CAD,False,44063.98,2019-02-08 09:36:00,2019,2,8
1163,in9u3s557e0XHK2CjY1ro,True,GLOBALPAY,evt_1EDH37xtH1lelvLUv43t9E2,2019-02-08T14:24:00.000Z,ACCEPTED,False,30941.55,CA,CAD,False,43690.9,2019-02-08 14:24:00,2019,2,8
1164,zg-T8s3x9uwoYTe-sutxn,True,GLOBALPAY,evt_1EFJ36Hi1frPOMT74253Ld2,2019-02-08T19:12:00.000Z,ACCEPTED,False,31039.62,CA,CAD,False,43829.38,2019-02-08 19:12:00,2019,2,8
1165,l0HuZnO2o88jxxheYp9W9,True,GLOBALPAY,evt_1E1xHBuSl2j2Fz06-bwA-IC,2019-02-08T00:00:00.000Z,ACCEPTED,False,39699.41,AE,USD,False,39699.41,2019-02-08 00:00:00,2019,2,8
1166,UCNTNq1ser7nTRlFmCit0,True,GLOBALPAY,evt_1E98uvoafSU6UxkBEsjPcVO,2019-02-08T04:48:00.000Z,ACCEPTED,False,40043.74,AE,USD,False,40043.74,2019-02-08 04:48:00,2019,2,8
1167,NhBvh3tHi0_nkcXrus3pf,True,GLOBALPAY,evt_1EBYlS-mT6_vPL5pSaHvVeQ,2019-02-08T09:36:00.000Z,ACCEPTED,False,40417.84,AE,USD,False,40417.84,2019-02-08 09:36:00,2019,2,8
1168,0hoAKts4R1zI9x4Va7HAt,True,GLOBALPAY,evt_1E1I7pJw_EA1_jPfXrYXRtQ,2019-02-08T14:24:00.000Z,ACCEPTED,False,40661.57,AE,USD,False,40661.57,2019-02-08 14:24:00,2019,2,8
1169,tLmLd79YnDtz8KZDcf773,True,GLOBALPAY,evt_1E5qkPzD0UC6yhDrMpIX5iH,2019-02-08T19:12:00.000Z,ACCEPTED,False,41048.11,AE,USD,False,41048.11,2019-02-08 19:12:00,2019,2,8
1170,u-6HGanEgT_lhBAE06dDi,True,GLOBALPAY,evt_1E5lIWhHudl_E8NHXdi_6ce,2019-02-09T00:00:00.000Z,ACCEPTED,False,35442.72,US,USD,False,35442.72,2019-02-09 00:00:00,2019,2,9
1171,Od-fuk2ao3u-EAe9xvOsC,True,GLOBALPAY,evt_1E_djo56g-iYcEWZ0joDCWM,2019-02-09T04:48:00.000Z,ACCEPTED,False,35736.14,US,USD,False,35736.14,2019-02-09 04:48:00,2019,2,9
